DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1,Tyto alba,South America,1348,1.3,BB,1.8261603940125266,7.805,36.0,13.0,17.0
2,Tyto alba,Europe,875,,BA,2.0277240736251105,9.165,83.0,34.0,22.0
3,Tyto alba,Europe,521,,BA,1.9536403268601559,8.49,83.0,34.0,22.0
4,Tyto alba,Europe,2539,,BA,2.037968838504394,9.325,83.0,34.0,22.0
5,Tyto alba,Europe,799,,BA,2.074633317880325,9.52,83.0,34.0,22.0
13,Tyto alba,North America,362,,BC,1.4988849334418572,5.865,66.0,34.0,16.0
27,Tyto alba,South America,2087,,BA,0.6670915302321945,3.935,99.0,33.0,42.0
28,Tyto alba,Europe,1112,2.69,BA,1.514958808319388,6.425,67.0,26.0,21.0
29,Tyto alba,Europe,788,3.58,BA,1.63729892241545,6.575,67.0,26.0,21.0
30,Tyto alba,Europe,194,2.43,BA,1.453729400623194,5.965,67.0,26.0,21.0
31,Tyto alba,Europe,349,3.14,BA,1.3213750233387414,5.54,67.0,26.0,21.0
32,Tyto alba,Europe,538,3.54,BA,1.540339549666574,6.35,67.0,26.0,21.0
33,Tyto alba,Europe,277,3.46,BA,1.5031378080673639,6.415,67.0,26.0,21.0
34,Tyto alba,Europe,394,3.68,BA,1.1378247213551014,5.11,67.0,26.0,21.0
37,Tyto alba,South America,487,3.16,BA,1.1059434129812042,4.765,37.0,16.0,13.0
62,Tyto alba,North America,1272,,BC,1.8415790206069367,7.715,57.0,31.0,13.0
70,Tyto alba,North America,328,1.78,AA,0.42145013071498316,2.515,86.0,40.0,24.0
71,Tyto alba,North America,343,1.99,AA,0.45146007257733634,2.675,73.0,36.0,20.0
108,Tyto alba,Asia,207,4.92,NA,1.065374430729655,3.945,60.0,23.0,20.0
140,Tyto alba,Europe,220,,BA,1.3002169622141972,4.555,83.0,34.0,33.0
141,Tyto alba,Europe,99,,BA,1.35889543038845,4.465,83.0,34.0,33.0
142,Tyto alba,Europe,311,,BA,1.4547595903472113,5.72,83.0,34.0,33.0
143,Tyto alba,Europe,355,,BA,1.4668502513072728,5.67,83.0,34.0,33.0
144,Tyto alba,Europe,288,,BA,1.4841361150754204,5.705,83.0,34.0,33.0
145,Tyto alba,Europe,404,,BA,1.3980579096232983,5.44,83.0,34.0,33.0
146,Tyto alba,Europe,154,,BA,1.6195143331272697,6.17,83.0,34.0,33.0
147,Tyto alba,Europe,81,,BA,1.6451524984178156,6.385,83.0,34.0,33.0
262,Tyto alba,North America,1156,2.33,NA,0.6436399260376747,3.485,79.0,36.0,25.0
268,Tyto alba,North America,893,2.8,BA,0.5034992479318078,2.64,57.0,29.0,16.0
280,Tyto alba,North America,303,,BA,0.6986434838682211,3.72,52.0,26.0,15.0
318,Tyto alba,South America,354,,BB,1.7905564995645358,7.345,41.0,14.0,18.0
319,Tyto alba,South America,335,,BB,1.4263902833457718,5.865,38.0,14.0,16.0
320,Tyto alba,South America,531,,BA,1.6732000649152716,6.6,35.0,14.0,18.0
333,Tyto alba,Australia/Oceania,291,,BB,0.4229791519688987,2.365,53.0,5.0,23.0
365,Tyto alba,South America,93,1.01,DA,1.7961290595361925,7.805,137.0,23.0,36.0
403,Tyto alba,Europe,1063,2.35,BB,0.854609485321147,3.89,62.0,21.0,24.0
404,Tyto alba,Europe,782,2.35,BB,0.8603178979564128,3.68,62.0,21.0,24.0
405,Tyto alba,Europe,934,2.35,BB,0.7055138056983501,3.41,62.0,21.0,24.0
406,Tyto alba,Europe,331,2.35,BB,0.902856669273154,3.68,62.0,21.0,24.0
408,Tyto tenebricosa,Australia/Oceania,141,,BA,1.1664481499622124,5.2,68.0,5.0,27.0
409,Tyto alba,Asia,142,,CA,1.2405063442028192,5.275,80.0,31.0,23.0
410,Tyto alba,Asia,601,,BB,0.9935323852812836,3.96,65.0,23.0,27.0
411,Tyto alba,Asia,313,,BB,1.1182497911827824,4.595,65.0,23.0,27.0
412,Tyto alba,Asia,217,3.62,BB,1.3364552435987145,5.155,76.0,28.0,25.0
413,Tyto alba,Asia,79,1.72,CA,1.0438464668431267,4.395,71.0,31.0,24.0
414,Tyto alba,Asia,247,,CA,1.1383118432864443,4.69,71.0,31.0,24.0
415,Tyto alba,Asia,7966,1.33,BB,1.3233619153609373,5.1,80.0,31.0,23.0
416,Tyto alba,Asia,196,1.82,CA,1.5099098772227342,5.675,35.0,16.0,5.0
417,Tyto alba,Asia,1026,,CA,1.612359516769846,6.715,83.0,35.0,23.0
428,Tyto alba,North America,13,,CA,1.0779308162260588,3.79,105.0,50.0,30.0
434,Tyto alba,South America,392,1.93,AA,1.4605425683908222,5.195,63.0,28.0,13.0
478,Tyto alba,North America,1044,2.52,BB,0.9556537900507905,3.735,82.0,43.0,25.0
505,Tyto alba,Africa,146,0.073,CA,1.5982339521683164,6.265,46.0,21.0,11.0
513,Tyto alba,Europe,1661,,DA,1.7842886857871683,8.12,177.0,25.0,43.0
515,Tyto alba,Asia,1590,1.37,DA,0.7572737304836353,4.23,57.0,16.0,19.0
516,Tyto alba,Asia,710,1.37,DA,1.3467583706789066,6.18,57.0,16.0,19.0
517,Tyto alba,Asia,390,0.93,DA,1.9266112551298655,8.525,57.0,16.0,19.0
518,Tyto alba,Asia,644,2.49,DA,1.0423096466483062,5.605,57.0,16.0,19.0
519,Tyto alba,Asia,126,1.41,DA,0.9756613093074972,4.24,99.0,25.0,37.0
521,Tyto alba,Asia,978,1.29,DA,1.5817821802613472,6.155,99.0,25.0,37.0
525,Tyto alba,Africa,647,1.86,BA,1.1392941966790269,5.765,253.0,83.0,60.0
527,Tyto alba,Asia,297,1.71,DA,1.9561596463163058,8.56,66.0,20.0,26.0
528,Tyto alba,Asia,516,1.52,DA,0.9402046706908856,5.145,66.0,20.0,26.0
529,Tyto alba,Asia,1142,1.37,DA,0.7365705146046848,4.155,66.0,20.0,26.0
530,Tyto alba,Asia,458,1.32,DA,1.3458343515704525,5.85,66.0,20.0,26.0
535,Tyto alba,South America,1145,1.79,NA,2.0593906283433556,9.34,33.0,15.0,11.0
544,Tyto alba,Europe,125,2.78,BA,1.6066361724224025,6.765,83.0,34.0,22.0
567,Tyto alba,Asia,156,,DA,1.8415350122785947,7.77,69.0,18.0,30.0
585,Tyto alba,Europe,2414,,BA,1.249100415425022,4.5,37.0,13.0,18.0
603,Tyto alba,Europe,98,2.58,BA,1.5613625441143162,6.275,83.0,34.0,22.0
611,Tyto alba,North America,224,,DB,1.8386263087823875,8.925,15.0,1.0,3.0
612,Tyto alba,North America,293,,DB,1.8434822444644872,8.72,15.0,1.0,3.0
617,Tyto alba,South America,755,3.24,DA,1.5723023222932662,7.67,177.0,25.0,43.0
620,Tyto alba,Australia/Oceania,139,4.34,CA,0.13012632594940407,1.6,31.0,5.0,21.0
621,Tyto alba,Australia/Oceania,229,4.32,CA,0.8229628017060014,4.075,31.0,5.0,21.0
622,Tyto alba,Australia/Oceania,67,4.47,CA,0.5471498097321402,2.94,31.0,5.0,21.0
631,Tyto alba,Australia/Oceania,241,4.82,CA,0.16821318914981553,1.76,31.0,5.0,21.0
667,Tyto alba,Africa,27,,BA,1.5513768148762273,6.13,123.0,42.0,35.0
688,Tyto alba,Australia/Oceania,288,5.14,CA,0.13534539254811814,1.63,31.0,5.0,21.0
689,Tyto alba,Australia/Oceania,229,4.98,CA,0.13624355633716528,1.65,31.0,5.0,21.0
694,Tyto alba,Australia/Oceania,303,2.12,CA,1.0332622053876377,4.465,38.0,7.0,14.0
699,Tyto alba,Australia/Oceania,138,5.31,CA,0.2111131437402368,1.8,31.0,5.0,21.0
700,Tyto alba,North America,2223,,BB,1.7036689706939347,7.78,93.0,47.0,22.0
717,Tyto alba,Australia/Oceania,236,,BB,0.41034313266471445,2.11,53.0,5.0,23.0
719,Tyto alba,South America,354,1.11,BB,1.79939594619263,7.335,41.0,14.0,18.0
720,Tyto alba,South America,335,1.4,BB,1.4405317857761033,5.91,58.0,26.0,18.0
726,Tyto alba,Europe,128,,B,1.5139640522525042,5.79,60.0,24.0,21.0
727,Tyto alba,Europe,209,,B,1.8691205259868877,7.855,60.0,24.0,21.0
728,Tyto alba,Europe,165,,B,1.5887427218452868,6.405,60.0,24.0,21.0
729,Tyto alba,Europe,144,,BA,1.357565234952916,5.055,67.0,26.0,21.0
730,Tyto alba,Europe,56,,BA,1.5334990344346875,6.01,67.0,26.0,21.0
731,Tyto alba,Europe,66,,BA,0.591804015062566,3.055,67.0,26.0,21.0
737,Tyto alba,Europe,9572,,BA,1.250151774425303,4.945,36.0,12.0,11.0
738,Tyto alba,Europe,7138,,BA,1.3136193701030983,5.595,54.0,21.0,16.0
739,Tyto alba,Europe,8179,,BA,1.4349295664544852,6.14,39.0,14.0,14.0
740,Tyto alba,Europe,4784,,BA,1.3039339889897463,5.23,39.0,14.0,14.0
741,Tyto alba,Europe,4340,,BA,1.1276509737770035,4.44,42.0,15.0,18.0
742,Tyto alba,Europe,4525,,BA,1.2168241073583204,4.77,37.0,13.0,18.0
743,Tyto alba,Europe,7494,,BA,1.1835867936139148,4.47,33.0,12.0,16.0
744,Tyto alba,Europe,1731,,BA,0.926904247336946,4.01,25.0,8.0,8.0
745,Tyto alba,Australia/Oceania,105,4.2,CA,0.2535664626341397,1.925,31.0,5.0,21.0
746,Tyto alba,Australia/Oceania,141,4.55,CA,0.10051157186502815,1.485,39.0,10.0,19.0
747,Tyto alba,Australia/Oceania,250,1.94,CA,0.6516241863594885,2.175,30.0,9.0,19.0
748,Tyto alba,Australia/Oceania,99,2.06,CA,0.7344181704693662,3.27,30.0,9.0,19.0
749,Tyto alba,Australia/Oceania,926,3.76,CA,0.6767254023214819,3.96,30.0,6.0,20.0
750,Tyto alba,Australia/Oceania,16,0.76,CA,0.8433038729599738,3.515,33.0,9.0,16.0
751,Tyto alba,Australia/Oceania,100,1.69,CA,1.011639673718051,4.04,33.0,9.0,15.0
752,Tyto alba,Australia/Oceania,238,3.72,CA,0.8193309829825135,4.36,35.0,7.0,14.0
753,Tyto alba,Australia/Oceania,202,3.61,CA,0.5071483932653181,2.725,35.0,7.0,14.0
754,Tyto alba,Australia/Oceania,50,1.67,CA,1.2826000694558914,4.6,33.0,9.0,16.0
755,Tyto alba,Australia/Oceania,169,4.33,CA,0.3315332868620803,2.475,33.0,9.0,16.0
759,Tyto alba,Europe,263,,BA,1.6128926188007284,6.58,83.0,34.0,22.0
760,Tyto alba,Europe,235,2.87,BA,1.4130132758200256,5.945,83.0,34.0,22.0
761,Tyto alba,Europe,198,2.79,BA,1.760553686940604,7.21,83.0,34.0,22.0
762,Tyto alba,Europe,167,3.15,BA,1.5817475880216394,6.63,83.0,34.0,22.0
763,Tyto alba,Europe,129,,BA,1.1807026875468736,3.94,83.0,34.0,22.0
764,Tyto alba,Europe,12335,,BA,1.4320181411311212,5.695,83.0,34.0,22.0
765,Tyto alba,North America,140,,BB,1.3466687290120325,5.845,106.0,59.0,25.0
766,Tyto alba,North America,35,,BB,1.4018383563680887,5.145,106.0,59.0,25.0
767,Tyto alba,North America,90,,BB,1.798951483699619,7.75,106.0,59.0,25.0
768,Tyto alba,North America,188,,BB,1.3662567064980817,5.73,106.0,59.0,25.0
769,Tyto alba,North America,42,,BB,1.0297698006015858,4.085,106.0,59.0,25.0
770,Tyto alba,North America,42,,BB,1.0533582999452566,4.51,106.0,59.0,25.0
771,Tyto alba,North America,90,,BB,0.24592357183886318,2.03,106.0,59.0,25.0
772,Tyto alba,North America,122,,BB,0.39369006428623576,2.605,106.0,59.0,25.0
773,Tyto alba,North America,82,,BB,1.3403557883213355,5.425,106.0,59.0,25.0
774,Tyto alba,North America,45,,BB,1.345776345005146,5.005,106.0,59.0,25.0
775,Tyto alba,North America,81,,BB,1.3403170795085533,5.12,106.0,59.0,25.0
776,Tyto alba,Europe,96,,B,1.4085153750129096,5.435,52.0,16.0,23.0
777,Tyto alba,Europe,132,,B,1.1490764950118293,3.725,52.0,16.0,23.0
778,Tyto alba,Europe,683,,B,1.7040412341693025,6.62,52.0,16.0,23.0
779,Tyto alba,Europe,240,,B,1.5404093350717971,5.825,52.0,16.0,23.0
780,Tyto alba,Europe,137,,B,1.575316416742307,6.225,52.0,16.0,23.0
781,Tyto alba,Europe,689,,B,1.3717672591799541,5.385,44.0,12.0,22.0
782,Tyto alba,Europe,259,,B,1.242987103979009,4.655,52.0,16.0,23.0
783,Tyto alba,Europe,145,,B,1.1466273226061066,4.01,44.0,12.0,22.0
784,Tyto alba,Europe,278,,B,0.6090913990550936,2.945,52.0,16.0,23.0
785,Tyto alba,Europe,427,,B,0.8329656982229733,3.31,44.0,12.0,22.0
786,Tyto alba,Europe,86255,,B,0.012903490817481718,1.065,44.0,12.0,22.0
787,Tyto alba,Europe,165,,B,1.1101434773008336,5.595,52.0,16.0,23.0
813,Tyto alba,North America,90,,BA,1.2586830883829119,4.855,46.0,21.0,15.0
814,Tyto alba,North America,63,,BA,1.2354847184430267,5.85,39.0,16.0,11.0
816,Tyto alba,Europe,234,,B,1.6736458421448182,7.03,57.0,18.0,27.0
823,Tyto alba,Europe,1281,,BB,1.4061991011051556,5.41,83.0,34.0,33.0
825,Tyto alba,Europe,311,,NA,1.4925725213294618,6.135,83.0,34.0,33.0
827,Tyto alba,North America,178,1.65,CA,1.3386447382163444,5.125,54.0,19.0,14.0
828,Tyto alba,North America,194,,DA,1.6487578004519023,7.105,101.0,44.0,24.0
865,Tyto alba,South America,232,2.55,BA,1.156143763830886,4.02,29.0,13.0,12.0
868,Tyto alba,North America,56,,CA,0.7451973528079249,2.87,94.0,50.0,25.0
869,Tyto alba,North America,229,,CA,0.8962771646286666,3.93,94.0,50.0,25.0
870,Tyto alba,North America,66,,CA,0.7060611654680106,3.8,94.0,50.0,25.0
871,Tyto alba,North America,42,,CA,1.5751738608196115,6.005,94.0,50.0,25.0
872,Tyto alba,North America,138,,CA,1.375259411128941,5.27,94.0,50.0,25.0
873,Tyto alba,North America,52,,CA,0.8942343488870622,2.92,94.0,50.0,25.0
874,Tyto alba,North America,50,,CA,1.2132493554652743,4.61,94.0,50.0,25.0
875,Tyto alba,North America,248,,CA,0.9378162448018555,3.8,94.0,50.0,25.0
876,Tyto alba,North America,403,,CA,1.2029247296752779,4.51,94.0,50.0,25.0
877,Tyto alba,North America,352,,CA,1.327008853221659,5.36,94.0,50.0,25.0
878,Tyto alba,North America,83,,CA,1.244373466171904,4.295,94.0,50.0,25.0
879,Tyto alba,North America,40,,CA,1.0975551219534516,3.81,94.0,50.0,25.0
880,Tyto alba,North America,57,,CA,1.0551272628632837,3.71,94.0,50.0,25.0
881,Tyto alba,North America,55,,CA,0.6345563784221785,2.66,94.0,50.0,25.0
882,Tyto alba,North America,274,,CA,1.5258482864127558,6.32,94.0,50.0,25.0
883,Tyto alba,North America,92,,CA,1.3847445161036103,5.545,94.0,50.0,25.0
884,Tyto alba,North America,129,,CA,1.1554928775102082,4.36,94.0,50.0,25.0
885,Tyto alba,North America,60,,CA,1.0949512181992644,4.245,94.0,50.0,25.0
886,Tyto alba,North America,31,,CA,1.1813921167469366,4.635,94.0,50.0,25.0
915,Tyto alba,North America,880,1.33,BC,0.8862985169942668,3.87,65.0,35.0,13.0
919,Tyto alba,Africa,350,1.99,CA,1.5048617152467236,6.605,39.0,18.0,10.0
920,Tyto alba,Africa,106,1.83,CA,1.1877200395874745,4.81,39.0,18.0,10.0
924,Tyto alba,Europe,230,2.41,BB,1.5280107643456682,6.06,75.0,27.0,27.0
925,Tyto alba,Europe,176,2.41,BB,1.361174418991708,5.11,75.0,27.0,27.0
926,Tyto alba,Europe,263,2.41,BB,1.5348836630421678,6.01,75.0,27.0,27.0
927,Tyto alba,Europe,121,2.41,BB,1.43812470440623,6.28,75.0,27.0,27.0
928,Tyto alba,Europe,95,2.41,BB,1.813129605479713,7.76,75.0,27.0,27.0
929,Tyto alba,Europe,128,2.41,BB,1.508000627114761,6.12,75.0,27.0,27.0
930,Tyto alba,South America,65,2.41,DA,1.9687527278183357,8.72,146.0,34.0,42.0
933,Tyto alba,North America,429,,BA,0.9736664920225024,3.985,50.0,25.0,18.0
934,Tyto alba,North America,78,2.79,BA,0.9823241882565257,4.025,50.0,25.0,18.0
938,Tyto alba,North America,362,1.8,BB,0.6705107622112287,2.65,109.0,59.0,26.0
939,Tyto alba,North America,1343,,AA,0.6672902753521711,3.3,87.0,41.0,26.0
940,Tyto alba,North America,682,,AA,1.0582707875430648,3.325,87.0,41.0,26.0
941,Tyto alba,North America,488,,AA,1.1326680369856044,4.13,87.0,41.0,26.0
944,Tyto alba,North America,50,0.93,BA,1.3342609526718565,5.005,51.0,24.0,13.0
957,Tyto alba,Europe,183,1.66,B,1.398073640757367,5.94,69.0,25.0,23.0
959,Tyto alba,South America,66,3.91,BB,1.7652735625839144,6.815,36.0,13.0,17.0
960,Tyto alba,South America,55,3.91,BB,1.745023844252412,7.6,36.0,13.0,17.0
961,Tyto alba,South America,127,3.91,BB,1.6678753841798795,7.185,36.0,13.0,17.0
962,Tyto alba,South America,123,3.91,BB,1.725450132916302,7.12,36.0,13.0,17.0
976,Tyto alba,North America,92,,BB,1.0801808334964014,4.865,99.0,55.0,20.0
984,Tyto alba,South America,4618,3.99,DA,1.2143722836884976,4.82,7.0,5.0,3.0
985,Tyto alba,South America,36,2.12,DA,0.9193189629945598,3.275,7.0,5.0,3.0
986,Tyto alba,South America,139,3.16,DA,1.9359316240300466,8.44,7.0,5.0,3.0
993,Tyto alba,South America,158,1.98,BA,1.5436805511489706,6.4,241.0,55.0,60.0
998,Tyto alba,North America,576,,BC,1.7938845689847185,7.585,57.0,31.0,13.0
1024,Tyto alba,North America,749,1.34,BB,1.4526192086711738,5.575,106.0,59.0,25.0
1030,Tyto alba,South America,88,2.1,BA,1.3062990856748677,4.96,59.0,26.0,20.0
1031,Tyto alba,South America,55,2.11,BA,1.1716392662090611,5.035,59.0,26.0,20.0
1032,Tyto alba,South America,323,2.02,BA,1.1542121869247268,4.74,59.0,26.0,20.0
1036,Tyto alba,North America,513,,BB,1.2149469876697971,4.745,115.0,67.0,21.0
1044,Tyto alba,North America,253,,BB,0.8437094827489965,3.695,87.0,41.0,26.0
1055,Tyto alba,North America,202,3.96,BA,1.0867534158456071,3.255,73.0,36.0,20.0
1056,Tyto alba,North America,172,3.66,BA,1.0974231994850079,3.5,73.0,36.0,20.0
1057,Tyto alba,North America,145,3.54,BA,1.0248317684969295,3.3,73.0,36.0,20.0
1058,Tyto alba,North America,332,5.82,BA,0.7444897092284408,2.98,73.0,36.0,20.0
1059,Tyto alba,North America,344,4.99,BA,1.0871186829754358,4.385,73.0,36.0,20.0
1060,Tyto alba,North America,434,4.67,BA,1.2391454893923326,4.65,73.0,36.0,20.0
1061,Tyto alba,North America,266,4.43,BA,1.1663432645770282,3.855,73.0,36.0,20.0
1062,Tyto alba,North America,216,4.15,BA,1.1387344316183994,3.64,73.0,36.0,20.0
1063,Tyto alba,North America,258,3.58,BA,1.089384232441997,3.34,73.0,36.0,20.0
1064,Tyto alba,North America,203,3.5,BA,0.9089164397003151,3.015,73.0,36.0,20.0
1065,Tyto alba,North America,217,2.75,BA,0.8736843730428694,3.305,73.0,36.0,20.0
1066,Tyto alba,North America,97,2.16,BA,0.7032887076793648,3.24,73.0,36.0,20.0
1073,Tyto alba,Europe,451,,BA,0.8718294768362855,4.265,54.0,21.0,16.0
1074,Tyto alba,Europe,65,,BA,0.9006579139499451,4.475,39.0,14.0,14.0
1075,Tyto alba,Europe,183,,BA,1.1113062172661965,3.725,54.0,21.0,16.0
1076,Tyto alba,Europe,514,,BA,1.5457142791361782,5.97,37.0,14.0,17.0
1077,Tyto alba,Europe,738,,BA,1.279185096016928,5.27,54.0,21.0,16.0
1078,Tyto alba,Europe,185,,BA,1.3815604859862844,5.545,54.0,21.0,16.0
1079,Tyto alba,Europe,308,,BA,1.3579786341922733,5.445,39.0,14.0,14.0
1080,Tyto alba,Europe,200,,BA,1.532226834733602,5.93,36.0,12.0,11.0
1081,Tyto alba,Europe,22,,BA,1.5623814436678556,5.915,39.0,14.0,14.0
1082,Tyto alba,Europe,141,,BA,1.1049076601636494,4.955,39.0,14.0,14.0
1083,Tyto alba,Europe,376,,BA,1.5264156004026372,6.14,39.0,14.0,14.0
1084,Tyto alba,Europe,118,,BA,1.1115576515243273,4.54,42.0,15.0,18.0
1085,Tyto alba,Europe,284,,BA,1.3017859156326552,5.71,39.0,14.0,14.0
1086,Tyto alba,Europe,80,,BA,1.5134181198429024,5.85,39.0,14.0,14.0
1087,Tyto alba,South America,142,1.37,BA,0.6913555494859045,2.145,34.0,11.0,18.0
1088,Tyto alba,South America,119,1.37,BA,0.4948238204731022,2.255,34.0,11.0,18.0
1097,Tyto alba,Europe,1158,2.33,BA,2.0127354703522284,9.25,85.0,34.0,23.0
1099,Tyto alba,North America,278,1.07,DA,0.7266844313575099,2.93,53.0,21.0,18.0
1100,Tyto alba,North America,114,1.04,DA,0.8069513570825672,3.3,53.0,21.0,18.0
1101,Tyto alba,North America,34,1.06,DA,0.582912658684874,3.06,53.0,21.0,18.0
1102,Tyto alba,North America,5,1.0,DA,1.0031997743095926,2.985,53.0,21.0,18.0
1103,Tyto alba,North America,9,1.29,DA,0.6630909766641137,2.0,53.0,21.0,18.0
1104,Tyto alba,North America,29,1.21,DA,0.33145428762370377,2.24,53.0,21.0,18.0
1105,Tyto alba,North America,33,1.14,DA,0.6781762755074865,2.53,53.0,21.0,18.0
1106,Tyto alba,North America,65,1.25,DA,0.522725548215635,2.405,53.0,21.0,18.0
1107,Tyto alba,North America,453,1.27,DA,0.8141958981886762,3.465,53.0,21.0,18.0
1108,Tyto alba,North America,259,1.44,DA,1.174422267577968,4.745,53.0,21.0,18.0
1109,Tyto alba,North America,252,2.16,DA,1.1309549408583073,4.325,53.0,21.0,18.0
1110,Tyto alba,North America,33,1.44,DA,0.7665496770645975,2.495,53.0,21.0,18.0
1111,Tyto alba,North America,14,1.57,DA,0.5850371340806424,2.685,53.0,21.0,18.0
1112,Tyto alba,Africa,52,1.68,DA,0.7758198853248899,3.415,70.0,30.0,37.0
1113,Tyto alba,Africa,184,1.45,DA,0.36069880518365816,2.525,70.0,30.0,37.0
1114,Tyto alba,Africa,45,1.15,DA,0.37808148123281315,2.56,70.0,30.0,37.0
1115,Tyto alba,Africa,45,1.41,DA,0.9934033875109225,4.655,70.0,30.0,37.0
1116,Tyto alba,Africa,98,1.69,DA,0.6716212418342518,3.685,70.0,30.0,37.0
1117,Tyto alba,Africa,63,1.03,DA,0.6223755848971205,3.315,70.0,30.0,37.0
1118,Tyto alba,Africa,58,1.09,DA,0.3650167281109439,2.595,70.0,30.0,37.0
1119,Tyto alba,Africa,212,1.41,DA,1.3181371254034175,5.52,69.0,29.0,31.0
1120,Tyto alba,North America,37,,BC,1.1068151799375519,3.785,62.0,31.0,14.0
1121,Tyto alba,North America,46,,BC,1.534909490823133,5.955,62.0,31.0,14.0
1122,Tyto alba,North America,64,,BC,1.2968837231087853,5.035,62.0,31.0,14.0
1123,Tyto alba,North America,45,,BC,1.5281661556678885,5.795,62.0,31.0,14.0
1124,Tyto alba,North America,187,,BC,1.5436997012741294,6.25,62.0,31.0,14.0
1125,Tyto alba,North America,21,,BC,0.919219034714763,3.725,62.0,31.0,14.0
1126,Tyto alba,North America,28,,BC,0.9300494212086996,4.01,62.0,31.0,14.0
1148,Tyto alba,Africa,186,,DA,1.597385449679633,6.955,158.0,42.0,51.0
1149,Tyto alba,Africa,117,,DA,1.2957566486843093,5.935,158.0,42.0,51.0
1150,Tyto alba,Africa,87,,DA,1.2378861988216414,4.9,158.0,42.0,51.0
1151,Tyto alba,Africa,119,,DA,1.1001067241577944,5.32,158.0,42.0,51.0
1152,Tyto alba,Africa,102,,DA,0.7213533069855659,3.79,158.0,42.0,51.0
1153,Tyto alba,Africa,97,,DA,1.3398574860404926,5.18,158.0,42.0,51.0
1154,Tyto alba,Africa,73,,DA,1.2283523426085123,5.14,158.0,42.0,51.0
1155,Tyto alba,Africa,54,,DA,1.2333180523649987,5.625,158.0,42.0,51.0
1156,Tyto alba,Africa,36,,DA,1.181520092873165,4.585,158.0,42.0,51.0
1157,Tyto alba,Africa,90,,DA,1.5809930571523605,7.09,158.0,42.0,51.0
1158,Tyto alba,Africa,55,,DA,1.2715982244395045,5.275,158.0,42.0,51.0
1159,Tyto alba,Africa,126,,DA,1.6670192434254885,6.62,158.0,42.0,51.0
1160,Tyto alba,Africa,94,,DA,1.461975677058279,5.575,158.0,42.0,51.0
1161,Tyto capensis,Africa,101,,DA,1.454885483039208,6.015,158.0,42.0,51.0
