DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1162,Tyto capensis,Africa,46,2.19,DA,1.5400604984891002,5.57,158.0,42.0,51.0
1165,Tyto alba,North America,1389,,BA,0.7901253606139887,4.205,53.0,25.0,16.0
1174,Tyto alba,North America,58889,1.2,BC,1.7409329849088941,7.78,62.0,31.0,14.0
1176,Tyto alba,North America,234,,BC,1.7968959273139677,7.3,57.0,31.0,13.0
1182,Tyto alba,South America,194,1.28,BB,1.4660849638307067,5.945,36.0,13.0,17.0
1187,Tyto alba,South America,729,,BB,1.635557148422328,6.5,36.0,13.0,17.0
1194,Tyto alba,South America,346,1.05,CA,1.1417605154483,4.655,36.0,18.0,7.0
1205,Tyto alba,North America,23,1.53,BC,0.8883690761653117,3.465,60.0,29.0,14.0
1230,Tyto alba,North America,350,2.61,BA,1.7114883743342575,6.855,51.0,24.0,13.0
1231,Tyto alba,North America,45,4.09,BA,1.369752681234069,5.26,51.0,24.0,13.0
1236,Tyto alba,North America,543,,BA,0.9701251585425306,4.05,46.0,22.0,15.0
1242,Tyto alba,North America,3518,5.66,BB,1.220125282756654,4.81,87.0,41.0,26.0
1270,Tyto alba,Europe,53,,BA,1.7320329542899222,7.475,67.0,26.0,21.0
1271,Tyto alba,Europe,653,,B,1.627379757319311,7.07,60.0,24.0,21.0
1273,Tyto alba,South America,136,3.46,DA,1.3354207614490088,6.175,140.0,26.0,44.0
1274,Tyto alba,South America,156,3.46,DA,0.590809973023944,3.605,140.0,26.0,44.0
1275,Tyto alba,South America,328,3.46,DA,0.9638218320647082,5.105,140.0,26.0,44.0
1276,Tyto alba,South America,121,3.46,DA,0.9760020711117376,4.78,140.0,26.0,44.0
1283,Tyto alba,North America,234,2.17,BA,1.5927029563747228,6.195,41.0,16.0,14.0
1284,Tyto alba,North America,125,1.5,BA,1.1293849936866713,4.105,41.0,16.0,14.0
1285,Tyto alba,North America,987,,BC,1.5609341031970263,6.075,95.0,49.0,24.0
1286,Tyto alba,North America,141,,BC,1.1396879347656979,4.24,95.0,49.0,24.0
1287,Tyto alba,North America,582,,BC,1.3101538541045008,5.29,95.0,49.0,24.0
1288,Tyto alba,North America,201,,BC,1.2823825280680083,4.575,95.0,49.0,24.0
1289,Tyto alba,North America,293,,BC,1.3345989880171618,4.63,95.0,49.0,24.0
1290,Tyto alba,North America,116,,BC,1.3495330716431142,5.62,95.0,49.0,24.0
1291,Tyto alba,North America,227,,BC,0.9225984219372624,3.305,95.0,49.0,24.0
1292,Tyto alba,North America,600,,BC,1.2467900042376663,4.605,95.0,49.0,24.0
1293,Tyto alba,North America,274,,BC,1.2462696701177551,4.835,95.0,49.0,24.0
1294,Tyto alba,North America,373,,BC,1.1428892296177993,4.505,95.0,49.0,24.0
1315,Tyto alba,North America,357,,BC,1.4513682455061965,5.755,88.0,47.0,23.0
1316,Tyto alba,North America,330,,BC,1.585638387433046,6.74,88.0,47.0,23.0
1317,Tyto alba,North America,679,,BC,1.6337646094453044,6.7,88.0,47.0,23.0
1318,Tyto alba,North America,702,,BC,1.6511032879529939,6.835,88.0,47.0,23.0
1319,Tyto alba,North America,561,,BC,1.3129924742597046,5.445,88.0,47.0,23.0
1320,Tyto alba,North America,350,,BC,1.3724726509149991,5.375,88.0,47.0,23.0
1321,Tyto alba,North America,108,,BC,1.3439143114601249,5.095,88.0,47.0,23.0
1322,Tyto alba,North America,110656,,BB,1.2865156080730518,5.12,93.0,47.0,22.0
1332,Tyto alba,North America,166,0.73,AA,0.32070180437261814,2.255,73.0,36.0,20.0
1333,Tyto alba,North America,612,2.21,AA,0.7376726351318901,3.785,73.0,36.0,20.0
1338,Tyto alba,North America,1112,2.54,BB,1.2059249296048267,5.19,86.0,40.0,24.0
1339,Tyto tenebricosa,Australia/Oceania,1046,,DB,1.7475682302319608,7.955,93.0,17.0,27.0
1340,Tyto tenebricosa,Australia/Oceania,292,,DB,1.6892272902507808,7.32,93.0,17.0,27.0
1341,Tyto tenebricosa,Australia/Oceania,387,,DB,1.6952647269454415,7.17,93.0,17.0,27.0
1342,Tyto tenebricosa,Australia/Oceania,330,,DB,1.4663638973961255,5.865,93.0,17.0,27.0
1343,Tyto tenebricosa,Australia/Oceania,246,,DB,1.8451578072284167,8.17,93.0,17.0,27.0
1349,Tyto alba,North America,87,1.85,BA,0.7815429115290473,3.445,55.0,25.0,17.0
1358,Tyto alba,Europe,468,,BA,1.492012096494239,5.825,82.0,31.0,34.0
1359,Tyto alba,Europe,966,,BA,1.7653077530668233,7.01,82.0,31.0,34.0
1360,Tyto alba,Europe,921,,BA,1.7043690655614552,6.885,82.0,31.0,34.0
1364,Tyto alba,North America,53,1.47,BA,0.9763756634252597,3.955,45.0,18.0,14.0
1365,Tyto alba,Europe,24587,,BA,1.6257428619545573,6.475,82.0,31.0,34.0
1366,Tyto alba,South America,84,1.79,BA,1.7223031975608634,6.65,38.0,13.0,18.0
1367,Tyto alba,South America,139,1.35,BB,1.2480313742527367,4.565,41.0,14.0,18.0
1370,Tyto alba,North America,399,2.79,CA,1.3632054579462305,5.385,104.0,58.0,23.0
1371,Tyto alba,North America,409,2.51,CA,1.445942893707546,5.16,104.0,58.0,23.0
1372,Tyto alba,Asia,32,,BB,1.5569483964722426,6.26,69.0,28.0,29.0
1402,Tyto alba,North America,11616,,DA,2.0833840796266654,9.765,61.0,23.0,20.0
1408,Tyto alba,North America,93,2.07,BA,1.231724337479415,4.87,57.0,25.0,13.0
1415,Tyto alba,North America,193,2.14,BC,1.6335617230692236,6.655,71.0,31.0,18.0
1416,Tyto alba,Europe,347,3.81,BA,1.73616941780006,7.375,69.0,25.0,23.0
1417,Tyto alba,Europe,89,2.78,BA,1.8343289514878947,8.0,69.0,25.0,23.0
1418,Tyto alba,Europe,270,3.7,BA,1.7772159540166748,7.63,69.0,25.0,23.0
1419,Tyto alba,Europe,58,3.22,BA,1.6130313007190031,7.1,69.0,25.0,23.0
1420,Tyto alba,North America,164,2.25,BA,0.7880371909072814,3.865,44.0,17.0,13.0
1421,Tyto alba,North America,45,3.0,BA,0.7916788447877765,3.57,44.0,17.0,13.0
1422,Tyto alba,North America,13,4.33,BA,0.9866641781072312,3.715,44.0,17.0,13.0
1423,Tyto alba,North America,101,,BA,1.1802128005458299,3.845,44.0,17.0,13.0
1435,Tyto alba,Europe,423,2.88,BA,1.3927668319889952,5.67,80.0,28.0,29.0
1436,Tyto alba,Europe,67,4.47,BA,1.5331491317249688,5.885,80.0,28.0,29.0
1437,Tyto alba,Europe,1019,2.98,BC,1.317149089486133,5.97,73.0,28.0,25.0
1438,Tyto alba,Europe,763,3.76,BC,1.4119959215885975,6.555,73.0,28.0,25.0
1443,Tyto alba,North America,1008,1.25,BA,0.08492837222484978,1.38,41.0,16.0,14.0
1445,Tyto alba,North America,1018,3.7,AA,1.6338217268610042,6.52,95.0,49.0,24.0
1453,Tyto alba,Africa,295,3.74,BB,1.389689460153509,6.325,61.0,18.0,28.0
1454,Tyto alba,Africa,499,3.74,BB,1.779010681328305,7.825,61.0,18.0,28.0
1455,Tyto alba,Africa,75,3.74,BB,1.5664504750341741,6.82,61.0,18.0,28.0
1456,Tyto alba,Africa,110,3.74,BB,1.2751332569412537,5.88,61.0,18.0,28.0
1457,Tyto alba,Africa,91,3.74,BB,0.8701923590530763,3.59,61.0,18.0,28.0
1458,Tyto alba,Africa,208,3.74,BB,1.0348244921749916,4.75,61.0,18.0,28.0
1460,Tyto alba,South America,225,1.3,DA,1.6361810458334978,6.81,130.0,22.0,44.0
1461,Tyto alba,South America,148,1.3,DA,0.897228256842076,3.925,130.0,22.0,44.0
1462,Tyto alba,Europe,6752,3.2,B,1.6160771287858677,6.73,67.0,22.0,28.0
1466,Tyto alba,South America,164,2.71,BA,1.2882582829486267,5.04,54.0,16.0,22.0
1467,Tyto alba,South America,71,2.71,BA,1.0113519115701244,4.655,54.0,16.0,22.0
1468,Tyto alba,South America,182,2.71,BA,1.6698087255266225,7.2,54.0,16.0,22.0
1469,Tyto alba,South America,58,2.71,BA,1.54956940457103,6.03,54.0,16.0,22.0
1471,Tyto alba,North America,219,,BA,0.8970943018441753,4.605,50.0,25.0,15.0
1472,Tyto alba,North America,52,,BA,1.3190684093919507,4.835,50.0,25.0,15.0
1473,Tyto alba,North America,107,,BA,1.3531609807625173,5.45,50.0,25.0,15.0
1474,Tyto alba,North America,37,,BA,0.7575631306374536,2.9,50.0,25.0,15.0
1475,Tyto alba,North America,116,,BA,1.1129195678485315,4.525,50.0,25.0,15.0
1476,Tyto alba,North America,52,,BA,0.9148484665860339,3.23,50.0,25.0,15.0
1477,Tyto alba,North America,34,,NA,0.5514168415134041,2.74,50.0,25.0,15.0
1478,Tyto alba,North America,25,,NA,0.5211664290515452,3.04,50.0,25.0,15.0
1479,Tyto alba,North America,71,,BA,1.4860760862327245,5.785,46.0,22.0,15.0
1480,Tyto alba,North America,85,,BA,1.344157080467301,5.61,46.0,22.0,15.0
1481,Tyto alba,North America,54,,BA,0.929370906325563,3.99,50.0,25.0,15.0
1482,Tyto alba,North America,55,,BA,0.8115531159723289,3.58,50.0,25.0,15.0
1483,Tyto alba,North America,95,,BA,1.1189300980822232,4.33,50.0,25.0,15.0
1484,Tyto alba,North America,58,,NA,1.2830701053109317,5.03,50.0,25.0,15.0
1485,Tyto alba,Europe,1426,,BA,1.5845494442813384,6.78,57.0,22.0,22.0
1486,Tyto alba,Europe,324,,BA,1.7490244024206796,7.265,57.0,22.0,22.0
1487,Tyto alba,Europe,268,,BA,1.55895356287241,6.615,57.0,22.0,22.0
1488,Tyto alba,Europe,665,,BA,1.87233507024354,8.2,57.0,22.0,22.0
1489,Tyto alba,Europe,606,,BA,1.6207688943033338,6.785,57.0,22.0,22.0
1490,Tyto alba,Europe,860,,BA,1.7133071664546884,7.04,57.0,22.0,22.0
1491,Tyto alba,Europe,641,,BA,1.5743989564591307,7.07,57.0,22.0,22.0
1492,Tyto alba,Europe,1295,,BA,1.5897468129651204,6.365,57.0,22.0,22.0
1493,Tyto alba,Europe,357,,BA,1.8114575453015564,7.885,57.0,22.0,22.0
1494,Tyto alba,Europe,1101,,BA,1.565386664361732,6.345,57.0,22.0,22.0
1495,Tyto alba,Europe,664,,BA,1.086840101476436,5.25,57.0,22.0,22.0
1496,Tyto alba,Europe,18,,BA,1.558760544801629,5.87,57.0,22.0,22.0
1497,Tyto alba,Europe,38,,BA,1.4245928199860893,5.28,57.0,22.0,22.0
1498,Tyto alba,Europe,53,,BA,1.4874263274681343,5.555,57.0,22.0,22.0
1499,Tyto alba,Europe,162,,BA,1.291789218652091,5.375,57.0,22.0,22.0
1500,Tyto alba,Europe,415,,BA,1.7462076358050567,7.26,57.0,22.0,22.0
1501,Tyto alba,Europe,1099,,BA,1.6587667048435113,7.375,57.0,22.0,22.0
1502,Tyto alba,Europe,176,,BA,1.8472937720480465,8.135,57.0,22.0,22.0
1503,Tyto alba,Europe,132,,BA,1.7299086948440268,7.28,57.0,22.0,22.0
1504,Tyto alba,Europe,204,,BA,1.3845837599339814,6.075,57.0,22.0,22.0
1505,Tyto alba,Europe,598,,BA,1.7655216066282875,7.385,57.0,22.0,22.0
1506,Tyto alba,Europe,217,,BA,1.731388605175468,7.39,57.0,22.0,22.0
1507,Tyto alba,Europe,546,,BA,1.8090221041156338,7.925,57.0,22.0,22.0
1508,Tyto alba,Europe,725,,BA,1.4582327886410575,5.76,57.0,22.0,22.0
1509,Tyto alba,Europe,625,,BA,1.678572004422103,7.09,57.0,22.0,22.0
1510,Tyto alba,Europe,907,,BA,1.449816443711845,6.39,57.0,22.0,22.0
1511,Tyto alba,Europe,9,,BA,0.9065542773724214,3.695,57.0,22.0,22.0
1512,Tyto alba,Europe,2364,,BA,1.7232850344638067,7.19,57.0,22.0,22.0
1513,Tyto alba,Europe,356,,BA,1.433859382819996,6.07,57.0,22.0,22.0
1515,Tyto alba,South America,259,1.79,BB,1.5327026579700416,6.11,49.0,20.0,17.0
1516,Tyto alba,South America,84,1.48,BB,1.4306527326519318,5.185,49.0,20.0,17.0
1517,Tyto alba,South America,32,1.68,BB,1.7630864196925364,6.935,49.0,20.0,17.0
1518,Tyto alba,South America,138,0.65,BB,1.418043903696631,6.335,49.0,20.0,17.0
1519,Tyto alba,Asia,91,1.47,DB,1.115685040214434,3.92,149.0,45.0,26.0
1520,Tyto alba,Asia,94,1.04,DB,0.11404251330142333,1.525,208.0,55.0,30.0
1521,Tyto alba,Asia,82,0.82,DB,0.3453849746927331,2.505,187.0,50.0,27.0
1538,Tyto alba,North America,196,,BB,1.3551522835914667,5.865,68.0,32.0,21.0
1539,Tyto alba,North America,27,,BB,1.3645290060619728,4.64,68.0,32.0,21.0
1540,Tyto alba,North America,192,,BB,1.5771036209903884,6.59,68.0,32.0,21.0
1541,Tyto alba,North America,75,,BB,1.2396582460614116,5.355,68.0,32.0,21.0
1542,Tyto alba,North America,69,,BB,1.3744110478128164,6.085,68.0,32.0,21.0
1543,Tyto alba,North America,374,,BB,1.6394785229722506,6.755,68.0,32.0,21.0
1573,Tyto alba,North America,889,2.57,BB,0.5345408765058708,3.31,93.0,47.0,22.0
1574,Tyto alba,North America,509,2.57,BB,0.5892533094477311,3.595,93.0,47.0,22.0
1575,Tyto alba,North America,234,2.0,BB,1.0844091535109315,5.195,93.0,47.0,22.0
1576,Tyto alba,North America,213,1.75,BB,0.6832835674474822,3.835,93.0,47.0,22.0
1589,Tyto alba,North America,283,2.08,BC,1.750782532391563,7.73,66.0,31.0,13.0
1618,Tyto alba,North America,865,,BA,0.8352331744322363,4.41,43.0,17.0,16.0
1619,Tyto alba,North America,250,2.75,DA,1.6800480652082153,6.775,159.0,60.0,40.0
1620,Tyto alba,Australia/Oceania,478,,CA,1.0964165020624868,4.88,34.0,9.0,18.0
1625,Tyto alba,Europe,816,3.09,BA,1.7154478940094844,6.95,73.0,24.0,28.0
1626,Tyto alba,Europe,502,3.06,BA,1.6927303508280596,6.955,73.0,24.0,28.0
1627,Tyto alba,Europe,446,2.93,BA,1.716398875801624,6.88,73.0,24.0,28.0
1628,Tyto alba,Europe,832,2.51,BA,1.5619009963418191,6.225,73.0,24.0,28.0
1629,Tyto alba,Europe,785,,BA,1.5470604354210482,6.245,73.0,24.0,28.0
1644,Tyto alba,North America,1888,3.05,BA,0.32489476143255636,2.45,53.0,26.0,19.0
1701,Tyto alba,North America,613,2.04,NA,1.3861326352928,5.96,79.0,36.0,25.0
1702,Tyto alba,South America,27,1.5,CA,0.9845940589567654,4.01,14.0,4.0,7.0
1703,Tyto alba,South America,13,1.86,CA,0.643480103528309,2.8,14.0,4.0,7.0
1704,Tyto alba,South America,63,1.8,CA,1.2631346641421863,6.015,14.0,4.0,7.0
1705,Tyto alba,South America,15,2.5,CA,0.9782408814073688,4.195,14.0,4.0,7.0
1706,Tyto alba,North America,55,0.92,BA,1.0855115735805534,4.675,44.0,17.0,13.0
1723,Tyto alba,North America,34,1.62,BA,1.2433322049820246,4.71,44.0,17.0,13.0
1728,Tyto alba,South America,134,3.12,BB,1.8136847466433519,7.3,38.0,14.0,16.0
1732,Tyto alba,North America,29,0.73,BA,0.8224635928783586,3.885,56.0,26.0,15.0
1735,Tyto alba,North America,883,1.49,BC,1.2237809485264917,5.11,57.0,27.0,12.0
1742,Tyto alba,North America,1163,,BC,1.5403651174376218,5.795,62.0,32.0,15.0
1829,Tyto alba,North America,1799,,BA,1.0641479761101278,4.52,52.0,26.0,15.0
1830,Tyto alba,North America,435,,BA,0.8750750773900207,3.89,52.0,26.0,15.0
1831,Tyto alba,North America,838,,BA,0.7848418758082792,3.8,52.0,26.0,15.0
1832,Tyto alba,North America,312,,BA,0.8342151987348282,3.68,52.0,26.0,15.0
1833,Tyto alba,North America,372,,BA,0.8672679753850044,3.945,52.0,26.0,15.0
1834,Tyto alba,North America,1434,,BA,0.8936926699961094,4.47,52.0,26.0,15.0
1835,Tyto alba,North America,776,,BA,1.1919090178581009,5.525,52.0,26.0,15.0
1836,Tyto alba,North America,215,,BA,0.8784075526600352,3.6,52.0,26.0,15.0
1837,Tyto alba,North America,469,,BA,0.8967896706139833,4.57,52.0,26.0,15.0
1838,Tyto alba,North America,1352,,BA,1.0970755253146824,4.51,52.0,26.0,15.0
1839,Tyto alba,North America,1764,,BA,1.1771176598850417,4.99,52.0,26.0,15.0
1840,Tyto alba,North America,1798,,BA,1.0649013384357513,4.55,52.0,26.0,15.0
1841,Tyto alba,North America,722,,BA,0.5481746085151541,3.27,52.0,26.0,15.0
1891,Tyto alba,Europe,225,2.35,BB,0.7191513519889529,3.545,62.0,21.0,24.0
1892,Tyto alba,North America,41,,CA,1.2471278396687746,4.27,105.0,50.0,30.0
1893,Tyto alba,North America,30,,CA,1.1230426069362978,3.495,105.0,50.0,30.0
1915,Tyto alba,Europe,2290,,B,1.4746316587359736,6.56,66.0,21.0,29.0
1916,Tyto alba,Europe,133,,B,1.2870614329686476,4.615,73.0,24.0,28.0
1917,Tyto alba,Europe,126,,B,1.2305885777108474,3.935,73.0,24.0,28.0
1932,Tyto alba,Asia,132,1.389,DA,1.1599989258376595,4.515,99.0,25.0,37.0
1934,Tyto alba,Asia,140,1.573,DA,1.0388008928996413,4.01,99.0,25.0,37.0
1936,Tyto alba,Asia,151,1.171,DA,1.0355693808296869,4.19,99.0,25.0,37.0
1938,Tyto alba,Asia,1127,1.332,DA,1.5684108847049394,6.41,99.0,25.0,37.0
1939,Tyto alba,Asia,1229,1.268,DA,1.2523898898704748,4.86,99.0,25.0,37.0
1940,Tyto alba,Asia,580,1.032,DA,1.2023369297288697,5.0,99.0,25.0,37.0
1968,Tyto alba,North America,422,,BA,1.3074460926370157,4.865,106.0,59.0,25.0
1969,Tyto alba,North America,1858,,BA,1.277083639108912,4.725,106.0,59.0,25.0
1970,Tyto alba,North America,2510,,BA,1.4705653806413137,5.69,106.0,59.0,25.0
1971,Tyto alba,North America,333,,BA,1.4699749987131225,5.75,106.0,59.0,25.0
1972,Tyto alba,North America,907,,BA,1.1071071318780417,3.975,106.0,59.0,25.0
1973,Tyto alba,North America,668,,BA,0.9686108890391795,3.745,106.0,59.0,25.0
1974,Tyto alba,North America,1727,,BA,0.7141017878514638,3.245,106.0,59.0,25.0
1975,Tyto alba,North America,1338,,BA,0.3647589932821667,2.56,106.0,59.0,25.0
1976,Tyto alba,North America,568,,BA,0.7830058141878523,4.065,106.0,59.0,25.0
1977,Tyto alba,North America,622,,BA,1.0081144590693865,4.44,106.0,59.0,25.0
1978,Tyto alba,North America,173,,BA,1.0965365880654552,3.72,106.0,59.0,25.0
1999,Tyto alba,North America,4628,,BC,1.6814808797149003,6.69,57.0,31.0,13.0
2000,Tyto alba,North America,4156,,BC,1.5114315343411304,6.255,57.0,31.0,13.0
2006,Tyto alba,Asia,504,4.54,NA,1.1062008161114587,4.03,60.0,23.0,20.0
2047,Tyto alba,South America,83,1.98,BB,1.6779414733929314,6.765,49.0,20.0,17.0
2048,Tyto alba,South America,68,1.94,BB,1.7021102130650008,7.075,49.0,20.0,17.0
2049,Tyto alba,South America,139,1.7,BB,1.5784769210540062,6.255,49.0,20.0,17.0
2050,Tyto alba,South America,135,1.93,BB,1.7288837807291748,7.245,49.0,20.0,17.0
2055,Tyto alba,Europe,1590,,B,1.1763081614578708,5.55,60.0,24.0,21.0
2056,Tyto alba,Europe,2035,,B,1.472510477733695,6.09,60.0,24.0,21.0
2096,Tyto alba,Europe,754,,B,1.7108597929703213,7.315,63.0,24.0,22.0
2097,Tyto alba,Europe,421,,BB,1.7114355511952999,7.315,54.0,18.0,17.0
2098,Tyto alba,Europe,137,,BB,1.5370891213975866,6.295,62.0,20.0,22.0
2099,Tyto alba,Europe,319,,BB,1.108973802147926,4.895,49.0,15.0,17.0
2100,Tyto alba,Europe,128,,BB,1.3138164889197748,5.92,49.0,15.0,17.0
2101,Tyto alba,Europe,215,,BB,1.1998293013586263,5.185,49.0,15.0,17.0
2102,Tyto alba,Europe,237,,BB,1.0680595367971668,5.06,49.0,15.0,17.0
2103,Tyto alba,Europe,143,,BB,1.3517357290290175,6.145,49.0,15.0,17.0
2104,Tyto alba,Asia,755,,BB,0.9390568171572281,4.24,68.0,27.0,15.0
2105,Tyto alba,Asia,372,,BB,1.3754653942209336,5.625,68.0,27.0,15.0
2106,Tyto alba,Asia,523,,BB,1.5509966797015533,6.015,68.0,27.0,15.0
2107,Tyto alba,Asia,239,,BB,1.586816660051705,6.665,68.0,27.0,15.0
2108,Tyto alba,Asia,457,,BB,1.6058186287681682,6.175,68.0,27.0,15.0
2109,Tyto alba,Asia,156,,BB,0.9889271869030138,4.28,60.0,23.0,20.0
2110,Tyto alba,Asia,142,,BB,1.5828193529825865,6.055,60.0,23.0,20.0
2111,Tyto alba,Asia,196,,NA,1.2222316838796323,4.665,76.0,28.0,25.0
2112,Tyto alba,Asia,18,,BB,1.21136448213991,4.26,80.0,31.0,23.0
2113,Tyto alba,Asia,155,,BB,1.2553305144523437,4.465,80.0,31.0,23.0
2114,Tyto alba,Asia,1153,,BB,1.5492687591940026,6.68,80.0,31.0,23.0
2115,Tyto alba,Asia,1244,,BB,1.0822053904270454,4.435,80.0,31.0,23.0
2116,Tyto alba,Asia,75,,BB,0.6516122535282045,3.425,80.0,31.0,23.0
2117,Tyto alba,Asia,137,,BB,0.9987844335536171,3.61,80.0,31.0,23.0
2118,Tyto alba,Asia,271,,BB,1.4209972586738178,6.015,83.0,35.0,23.0
2119,Tyto alba,Africa,66,,CA,0.202898857262486,1.795,62.0,27.0,11.0
2120,Tyto alba,Africa,233,,CA,1.4033646684319785,5.485,62.0,27.0,11.0
2121,Tyto alba,Africa,16,,CA,1.3145474734681997,4.61,67.0,30.0,12.0
2122,Tyto alba,Africa,14,,CA,1.1926627974481498,3.91,67.0,30.0,12.0
2138,Tyto alba,Europe,5868,,BA,1.0354170386833597,5.53,81.0,32.0,30.0
2139,Tyto alba,Europe,1188,,BA,1.518741834926347,7.08,81.0,32.0,30.0
2140,Tyto alba,Europe,1616,,BA,1.6187522918271577,7.5,81.0,32.0,30.0
2141,Tyto alba,Europe,328,,BA,0.9246078856583445,4.745,81.0,32.0,30.0
2142,Tyto alba,Europe,1296,,BA,0.5141184424500549,3.45,81.0,32.0,30.0
2148,Tyto alba,Asia,899,,CA,1.251343506644674,5.28,80.0,31.0,23.0
2149,Tyto alba,Asia,95,,CA,1.5582605054586194,7.49,84.0,36.0,25.0
2150,Tyto alba,Asia,3,,CA,1.048423879959002,3.0,71.0,31.0,24.0
2151,Tyto alba,Asia,724,,CA,1.704039514188949,7.14,84.0,36.0,25.0
2152,Tyto alba,Asia,18,,CA,1.3016795625795154,4.98,84.0,36.0,25.0
2153,Tyto alba,Asia,749,,CA,0.9675854826119118,4.745,84.0,36.0,25.0
2154,Tyto alba,Asia,221,,CA,1.573790097292494,7.885,84.0,36.0,25.0
2155,Tyto alba,Asia,27,,CA,2.0106397580913242,9.2,84.0,36.0,25.0
2156,Tyto alba,Asia,52,,CA,1.8964033232427118,8.62,84.0,36.0,25.0
2157,Tyto alba,Asia,3,,CA,1.0391568987694302,2.995,84.0,36.0,25.0
2249,Tyto alba,South America,15,0.75,NA,0.9846913411537037,3.635,0.0,0.0,0.0
2255,Tyto alba,Asia,,,DB,0.0,0.0,0.0,0.0,0.0
2290,Tyto alba,Europe,1043,3.13,BA,1.4798799624496117,5.685,37.0,13.0,18.0
2291,Tyto alba,North America,66,4.71,BB,0.8567972100603953,4.215,79.0,42.0,21.0
2314,Tyto alba,North America,1894,0.39,BA,0.8067833986280252,3.645,79.0,36.0,25.0
2315,Tyto alba,North America,322,0.39,BA,1.2511053069610074,4.375,79.0,36.0,25.0
2316,Tyto alba,North America,8013,0.39,NA,0.7033910348256485,4.015,79.0,36.0,25.0
2317,Tyto alba,North America,9866,0.39,AA,0.9640652780759978,4.71,79.0,36.0,25.0
2318,Tyto alba,North America,10154,0.39,AA,0.8030654639040317,3.875,79.0,36.0,25.0
2319,Tyto soumagnei,Africa,30,,DA,1.0630818924602792,3.66,103.0,15.0,20.0
2320,Tyto soumagnei,Africa,90,3.6,DA,1.4675280886964932,5.495,103.0,15.0,20.0
2321,Tyto soumagnei,Africa,52,,DA,1.7236515545273172,6.965,103.0,15.0,20.0
2326,Tyto alba,Asia,1243,2.46,BB,1.600844906510943,6.275,80.0,31.0,23.0
2327,Tyto alba,Asia,1137,3.38,BB,1.2691577831955965,5.04,80.0,31.0,23.0
2328,Tyto alba,Asia,1164,3.35,BB,1.3354932514513183,4.875,80.0,31.0,23.0
2329,Tyto alba,South America,2458,,BA,0.9364846666044767,3.755,54.0,16.0,22.0
2330,Tyto alba,South America,1804,,BA,0.7107140742942272,3.28,54.0,16.0,22.0
2331,Tyto alba,South America,3554,,BA,0.6803168140353533,2.885,50.0,13.0,20.0
